"means","Freq"
"412","2013",1
"413","2015",2
"414","2016",1
"415","2018",2
"416","2021",1
"417","2022",1
"418","2025",1
"419","2026",1
"420","2031",1
"421","2032",1
"422","2033",1
"423","2035",1
"424","2038",1
"425","2039",1
"426","2045",1
"427","2046",3
"428","2047",1
"429","2048",1
"430","2049",2
"431","2050",2
"432","2053",3
"433","2055",2
"434","2056",1
"435","2058",2
"436","2059",1
"437","2061",2
"438","2062",1
"439","2064",1
"440","2065",2
"441","2066",2
"442","2067",1
"443","2068",1
"444","2074",1
"445","2075",2
"446","2078",1
"447","2079",2
"448","2082",2
"449","2083",1
"450","2084",1
"451","2085",1
"452","2086",1
"453","2089",1
"454","2090",4
"455","2091",1
"456","2092",2
"457","2093",1
"458","2095",1
"459","2098",2
"460","2099",2
"461","2100",1
"462","2101",3
"463","2102",1
"464","2103",1
"465","2104",3
"466","2105",1
"467","2106",3
"468","2107",2
"469","2109",2
"470","2110",1
"471","2111",1
"472","2112",1
"473","2113",1
"474","2114",2
"475","2115",1
"476","2116",2
"477","2118",1
"478","2119",1
"479","2120",1
"480","2122",1
"481","2124",2
"482","2125",1
"483","2126",2
"484","2127",1
"485","2128",3
"486","2130",1
"487","2131",1
"488","2132",4
"489","2134",1
"490","2136",2
"491","2138",1
"492","2139",1
"493","2141",2
"494","2142",1
"495","2143",2
"496","2145",2
"497","2147",2
"498","2148",1
"499","2149",1
"500","2151",1
"501","2152",2
"502","2154",1
"503","2155",2
"504","2157",1
"505","2159",2
"506","2160",2
"507","2161",2
"508","2162",1
"509","2163",2
"510","2165",2
"511","2166",2
"512","2168",3
"513","2169",1
"514","2170",2
"515","2171",2
"516","2172",2
"517","2173",1
"518","2174",1
"519","2175",1
"520","2176",1
"521","2181",1
"522","2182",1
"523","2183",2
"524","2185",1
"525","2186",2
"526","2187",2
"527","2188",2
"528","2189",4
"529","2190",3
"530","2193",3
"531","2194",2
"532","2195",1
"533","2196",1
"534","2200",3
"535","2201",3
"536","2202",1
"537","2204",3
"538","2206",3
"539","2208",1
"540","2209",2
"541","2211",1
"542","2213",2
"543","2215",1
"544","2216",1
"545","2217",2
"546","2218",1
"547","2221",4
"548","2222",2
"549","2223",1
"550","2224",4
"551","2225",1
"552","2226",1
"553","2227",2
"554","2228",2
"555","2230",1
"556","2231",2
"557","2232",1
"558","2233",1
"559","2234",1
"560","2235",2
"561","2236",1
"562","2238",2
"563","2239",1
"564","2240",1
"565","2241",1
"566","2242",2
"567","2244",3
"568","2246",1
"569","2248",1
"570","2249",1
"571","2250",3
"572","2251",1
"573","2252",3
"574","2253",1
"575","2254",3
"576","2256",2
"577","2257",2
"578","2258",3
"579","2259",1
"580","2261",3
"581","2262",2
"582","2263",1
"583","2264",1
"584","2265",1
"585","2266",2
"586","2268",1
"587","2269",1
"588","2270",1
"589","2271",1
"590","2272",1
"591","2274",1
"592","2275",1
"593","2278",1
"594","2280",1
"595","2281",1
"596","2287",3
"597","2288",2
"598","2289",1
"599","2290",1
"600","2292",2
"601","2294",2
"602","2295",1
"603","2296",1
"604","2297",5
"605","2298",1
"606","2299",2
"607","2300",1
"608","2301",1
"609","2302",1
"610","2303",1
"611","2304",2
"612","2305",2
"613","2306",1
"614","2308",1
"615","2310",1
"616","2311",2
"617","2313",3
"618","2314",2
"619","2315",1
"620","2316",2
"621","2317",1
"622","2318",3
"623","2320",1
"624","2321",4
"625","2322",1
"626","2323",1
"627","2324",1
"628","2326",1
"629","2327",2
"630","2329",2
"631","2331",1
"632","2332",1
"633","2334",1
"634","2335",3
"635","2336",1
"636","2337",2
"637","2342",1
"638","2343",3
"639","2344",1
"640","2345",1
"641","2346",2
"642","2347",1
"643","2348",2
"644","2349",3
"645","2350",1
"646","2351",2
"647","2352",2
"648","2353",2
"649","2357",3
"650","2360",1
"651","2361",2
"652","2362",1
"653","2366",4
"654","2368",1
"655","2369",1
"656","2370",2
"657","2371",3
"658","2372",1
"659","2374",2
"660","2377",1
"661","2378",1
"662","2379",3
"663","2383",3
"664","2384",2
"665","2386",2
"666","2387",2
"667","2389",2
"668","2390",1
"669","2391",2
"670","2392",2
"671","2394",1
"672","2395",3
"673","2399",2
"674","2400",1
"675","2401",3
"676","2402",2
"677","2404",3
"678","2405",1
"679","2406",2
"680","2410",2
"681","2411",4
"682","2412",1
"683","2413",1
"684","2414",3
"685","2415",1
"686","2416",1
"687","2419",1
"688","2420",3
"689","2421",1
"690","2422",2
"691","2424",2
"692","2426",1
"693","2428",2
"694","2429",2
"695","2432",1
"696","2433",1
"697","2437",1
"698","2438",1
"699","2441",1
"700","2443",2
"701","2446",1
"702","2447",2
"703","2448",1
"704","2449",3
"705","2450",1
"706","2452",2
"707","2454",5
"708","2455",2
"709","2456",3
"710","2457",1
"711","2458",1
"712","2460",1
"713","2461",1
"714","2462",3
"715","2464",2
"716","2465",1
"717","2466",1
"718","2467",1
"719","2469",2
"720","2470",1
"721","2471",1
"722","2472",1
"723","2473",2
"724","2475",3
"725","2476",1
"726","2477",3
"727","2479",1
"728","2480",1
"729","2481",2
"730","2482",1
"731","2483",4
"732","2484",2
"733","2486",2
"734","2488",1
"735","2489",2
"736","2490",3
"737","2495",3
"738","2496",1
"739","2498",1
"740","2499",3
"741","2501",5
"742","2503",1
"743","2504",3
"744","2506",1
"745","2509",1
"746","2510",1
"747","2511",1
"748","2513",1
"749","2514",1
"750","2515",1
"751","2517",1
"752","2518",4
"753","2519",4
"754","2520",2
"755","2521",2
"756","2522",3
"757","2523",1
"758","2524",3
"759","2525",2
"760","2527",1
"761","2528",2
"762","2529",1
"763","2530",1
"764","2531",1
"765","2532",2
"766","2533",1
"767","2534",1
"768","2535",2
"769","2536",2
"770","2537",2
"771","2538",1
"772","2539",3
"773","2540",3
"774","2541",1
"775","2542",2
"776","2543",2
"777","2544",6
"778","2545",2
"779","2546",1
"780","2547",1
"781","2549",3
"782","2550",3
"783","2551",3
"784","2552",1
"785","2555",2
"786","2556",1
"787","2557",3
"788","2558",3
"789","2560",4
"790","2561",3
"791","2562",2
"792","2563",2
"793","2565",1
"794","2566",1
"795","2567",1
"796","2568",1
"797","2569",2
"798","2570",3
"799","2571",3
"800","2572",2
"801","2573",3
"802","2574",1
"803","2575",3
"804","2576",1
"805","2577",1
"806","2579",1
"807","2580",2
"808","2581",1
"809","2582",1
"810","2583",1
"811","2584",1
"812","2585",1
"813","2586",1
"814","2587",2
"815","2588",2
"816","2589",7
"817","2590",4
"818","2591",2
"819","2593",2
"820","2594",3
"821","2595",4
"822","2596",1
"823","2597",3
"824","2598",2
"825","2599",4
"826","2600",5
"827","2601",2
"828","2602",1
"829","2603",2
"830","2604",1
"831","2605",1
"832","2606",2
"833","2608",2
"834","2611",3
"835","2612",2
"836","2613",4
"837","2614",1
"838","2615",3
"839","2616",2
"840","2617",3
"841","2618",2
"842","2619",1
"843","2620",1
"844","2622",1
"845","2624",1
"846","2625",2
"847","2626",3
"848","2628",2
"849","2630",2
"850","2631",2
"851","2632",1
"852","2633",3
"853","2634",2
"854","2635",1
"855","2636",3
"856","2637",2
"857","2638",1
"858","2640",3
"859","2641",1
"860","2644",2
"861","2645",1
"862","2646",1
"863","2647",2
"864","2648",1
"865","2649",2
"866","2650",3
"867","2651",1
"868","2652",1
"869","2653",1
"870","2654",1
"871","2655",3
"872","2656",1
"873","2657",1
"874","2659",3
"875","2660",3
"876","2661",2
"877","2662",1
"878","2663",1
"879","2664",1
"880","2665",2
"881","2666",1
"882","2668",1
"883","2669",2
"884","2670",1
"885","2671",1
"886","2672",1
"887","2673",2
"888","2674",2
"889","2675",1
"890","2676",1
"891","2678",2
"892","2679",1
"893","2680",1
"894","2681",2
"895","2682",2
"896","2684",2
"897","2685",1
"898","2687",2
"899","2688",1
"900","2689",2
"901","2690",1
"902","2691",5
"903","2692",3
"904","2693",2
"905","2694",1
"906","2695",1
"907","2697",4
"908","2698",2
"909","2701",1
"910","2702",3
"911","2703",3
"912","2704",1
"913","2705",1
"914","2706",1
"915","2707",1
"916","2708",1
"917","2709",1
"918","2710",2
"919","2711",1
"920","2712",1
"921","2713",2
"922","2714",4
"923","2716",1
"924","2717",3
"925","2718",1
"926","2720",3
"927","2721",1
"928","2722",2
"929","2723",1
"930","2724",3
"931","2726",2
"932","2727",2
"933","2728",1
"934","2729",2
"935","2731",4
"936","2735",1
"937","2738",1
"938","2739",1
"939","2740",2
"940","2741",2
"941","2742",1
"942","2743",2
"943","2744",3
"944","2745",2
"945","2747",1
"946","2748",2
"947","2749",1
"948","2750",2
"949","2752",2
"950","2753",5
"951","2754",1
"952","2756",1
"953","2757",2
"954","2758",1
"955","2759",1
"956","2760",1
"957","2761",1
"958","2762",3
"959","2763",2
"960","2765",3
"961","2766",1
"962","2768",4
"963","2769",1
"964","2770",2
"965","2771",4
"966","2773",1
"967","2774",4
"968","2776",2
"969","2777",1
"970","2778",1
"971","2782",1
"972","2783",2
"973","2784",3
"974","2785",2
"975","2786",1
"976","2787",1
"977","2790",1
"978","2791",1
"979","2793",2
"980","2795",1
"981","2796",3
"982","2797",3
"983","2798",2
"984","2799",3
"985","2800",5
"986","2801",1
"987","2802",2
"988","2803",1
"989","2804",1
"990","2805",3
"991","2806",1
"992","2807",4
"993","2809",2
"994","2810",1
"995","2811",2
"996","2812",2
"997","2813",3
"998","2814",6
"999","2815",2
"1000","2816",3
"1001","2817",3
"1002","2818",3
"1003","2819",2
"1004","2820",2
"1005","2821",2
"1006","2823",1
"1007","2824",1
"1008","2825",1
"1009","2827",2
"1010","2828",2
"1011","2831",3
"1012","2832",1
"1013","2833",3
"1014","2834",3
"1015","2836",1
"1016","2839",1
"1017","2840",2
"1018","2841",1
"1019","2842",2
"1020","2843",3
"1021","2844",2
"1022","2845",1
"1023","2846",1
"1024","2847",1
"1025","2848",2
"1026","2849",2
"1027","2851",1
"1028","2852",1
"1029","2853",2
"1030","2854",4
"1031","2855",2
"1032","2856",3
"1033","2858",3
"1034","2859",2
"1035","2861",1
"1036","2862",1
"1037","2864",3
"1038","2866",3
"1039","2867",1
"1040","2868",1
"1041","2869",1
"1042","2870",1
"1043","2872",2
"1044","2873",1
"1045","2874",2
"1046","2875",2
"1047","2876",3
"1048","2877",2
"1049","2878",1
"1050","2879",3
"1051","2880",4
"1052","2881",1
"1053","2882",1
"1054","2883",4
"1055","2884",2
"1056","2885",2
"1057","2886",1
"1058","2889",4
"1059","2890",1
"1060","2893",3
"1061","2894",2
"1062","2895",5
"1063","2896",1
"1064","2897",1
"1065","2898",3
"1066","2899",4
"1067","2900",4
"1068","2902",1
"1069","2903",2
"1070","2904",3
"1071","2905",2
"1072","2907",1
"1073","2908",1
"1074","2909",1
"1075","2911",1
"1076","2912",2
"1077","2913",2
"1078","2915",2
"1079","2916",1
"1080","2917",2
"1081","2919",2
"1082","2920",1
"1083","2922",3
"1084","2925",5
"1085","2926",2
"1086","2927",2
"1087","2928",3
"1088","2929",1
"1089","2930",4
"1090","2932",2
"1091","2933",1
"1092","2934",1
"1093","2935",4
"1094","2936",3
"1095","2938",2
"1096","2939",2
"1097","2940",1
"1098","2941",2
"1099","2942",3
"1100","2943",1
"1101","2944",1
"1102","2945",2
"1103","2946",2
"1104","2947",1
"1105","2948",2
"1106","2949",2
"1107","2950",2
"1108","2951",1
"1109","2953",1
"1110","2956",2
"1111","2957",1
"1112","2958",2
"1113","2959",2
"1114","2960",1
"1115","2961",2
"1116","2962",1
"1117","2963",3
"1118","2964",1
"1119","2966",2
"1120","2967",1
"1121","2968",1
"1122","2969",4
"1123","2971",2
"1124","2972",1
"1125","2973",1
"1126","2974",3
"1127","2975",2
"1128","2976",1
"1129","2978",3
"1130","2979",5
"1131","2980",3
"1132","2981",4
"1133","2982",2
"1134","2984",3
"1135","2985",3
"1136","2986",6
"1137","2987",1
"1138","2988",1
"1139","2989",2
"1140","2990",1
"1141","2991",3
"1142","2992",2
"1143","2993",4
"1144","2994",4
"1145","2995",5
"1146","2996",2
"1147","2997",2
"1148","2999",3
"1149","3001",1
"1150","3002",1
"1151","3003",1
"1152","3004",1
"1153","3005",3
"1154","3006",3
"1155","3007",3
"1156","3008",2
"1157","3009",2
"1158","3010",1
"1159","3012",3
"1160","3013",1
"1161","3014",1
"1162","3015",2
"1163","3016",1
"1164","3017",2
"1165","3018",1
"1166","3019",4
"1167","3022",1
"1168","3023",3
"1169","3024",1
"1170","3025",2
"1171","3026",1
"1172","3027",2
"1173","3028",1
"1174","3029",1
"1175","3030",4
"1176","3031",3
"1177","3032",2
"1178","3034",1
"1179","3035",2
"1180","3037",3
"1181","3038",5
"1182","3039",1
"1183","3041",2
"1184","3042",1
"1185","3043",2
"1186","3044",1
"1187","3045",1
"1188","3046",3
"1189","3047",3
"1190","3049",2
"1191","3051",4
"1192","3052",1
"1193","3053",1
"1194","3054",3
"1195","3055",3
"1196","3057",4
"1197","3058",3
"1198","3060",2
"1199","3061",2
"1200","3062",1
"1201","3063",1
"1202","3064",1
"1203","3065",2
"1204","3066",2
"1205","3067",6
"1206","3068",1
"1207","3069",2
"1208","3070",1
"1209","3071",4
"1210","3072",2
"1211","3073",1
"1212","3074",1
"1213","3075",2
"1214","3076",2
"1215","3077",3
"1216","3078",2
"1217","3079",2
"1218","3080",1
"1219","3081",3
"1220","3082",2
"1221","3083",1
"1222","3084",3
"1223","3085",3
"1224","3086",2
"1225","3087",4
"1226","3088",1
"1227","3089",1
"1228","3090",1
"1229","3091",1
"1230","3092",2
"1231","3093",2
"1232","3094",3
"1233","3095",1
"1234","3096",1
"1235","3097",1
"1236","3098",1
"1237","3099",1
"1238","3100",1
"1239","3101",1
"1240","3102",3
"1241","3105",1
"1242","3106",2
"1243","3108",2
"1244","3109",4
"1245","3110",4
"1246","3111",1
"1247","3112",1
"1248","3113",1
"1249","3114",3
"1250","3115",1
"1251","3116",1
"1252","3117",1
"1253","3118",3
"1254","3119",1
"1255","3120",2
"1256","3121",1
"1257","3122",2
"1258","3123",3
"1259","3124",4
"1260","3125",2
"1261","3126",1
"1262","3127",3
"1263","3130",1
"1264","3131",3
"1265","3132",2
"1266","3133",3
"1267","3134",2
"1268","3135",1
"1269","3137",1
"1270","3138",3
"1271","3139",1
"1272","3140",1
"1273","3142",1
"1274","3143",3
"1275","3144",2
"1276","3145",1
"1277","3146",1
"1278","3147",1
"1279","3149",3
"1280","3150",1
"1281","3151",2
"1282","3152",1
"1283","3153",1
"1284","3154",2
"1285","3155",2
"1286","3156",2
"1287","3157",2
"1288","3158",2
"1289","3159",2
"1290","3160",3
"1291","3161",3
"1292","3162",1
"1293","3163",3
"1294","3164",1
"1295","3168",4
"1296","3170",2
"1297","3171",2
"1298","3173",3
"1299","3174",1
"1300","3175",1
"1301","3176",1
"1302","3177",1
"1303","3178",1
"1304","3179",2
"1305","3180",1
"1306","3181",2
"1307","3182",3
"1308","3183",2
"1309","3184",1
"1310","3185",3
"1311","3186",2
"1312","3187",4
"1313","3188",1
"1314","3189",1
"1315","3190",1
"1316","3191",1
"1317","3192",2
"1318","3193",2
"1319","3194",1
"1320","3195",1
"1321","3196",3
"1322","3197",1
"1323","3198",2
"1324","3199",1
"1325","3204",1
"1326","3205",3
"1327","3206",1
"1328","3207",1
"1329","3208",3
"1330","3209",2
"1331","3210",1
"1332","3211",2
"1333","3212",3
"1334","3213",4
"1335","3214",3
"1336","3215",2
"1337","3216",1
"1338","3217",1
"1339","3218",1
"1340","3220",4
"1341","3221",4
"1342","3222",2
"1343","3223",2
"1344","3224",1
"1345","3225",2
"1346","3226",4
"1347","3227",1
"1348","3228",1
"1349","3230",2
"1350","3231",2
"1351","3232",3
"1352","3235",1
"1353","3236",1
"1354","3238",2
"1355","3239",2
"1356","3240",2
"1357","3241",2
"1358","3242",2
"1359","3243",3
"1360","3244",3
"1361","3245",1
"1362","3246",2
"1363","3247",5
"1364","3248",1
"1365","3249",1
"1366","3251",1
"1367","3252",3
"1368","3253",1
"1369","3254",3
"1370","3255",3
"1371","3256",4
"1372","3257",1
"1373","3258",2
"1374","3259",1
"1375","3260",3
"1376","3261",1
"1377","3263",4
"1378","3264",1
"1379","3265",3
"1380","3266",1
"1381","3267",1
"1382","3268",4
"1383","3269",1
"1384","3270",2
"1385","3271",2
"1386","3275",3
"1387","3278",2
"1388","3279",2
"1389","3280",1
"1390","3281",2
"1391","3282",5
"1392","3284",3
"1393","3285",1
"1394","3286",3
"1395","3289",1
"1396","3290",1
"1397","3291",2
"1398","3292",3
"1399","3293",3
"1400","3294",1
"1401","3296",1
"1402","3297",2
"1403","3298",1
"1404","3299",2
"1405","3300",1
"1406","3301",2
"1407","3302",1
"1408","3303",2
"1409","3304",1
"1410","3306",2
"1411","3307",3
"1412","3309",3
"1413","3310",2
"1414","3311",1
"1415","3312",3
"1416","3313",3
"1417","3314",2
"1418","3315",1
"1419","3316",1
"1420","3317",2
"1421","3318",4
"1422","3319",1
"1423","3320",1
"1424","3322",2
"1425","3323",3
"1426","3324",2
"1427","3325",2
"1428","3326",1
"1429","3327",2
"1430","3328",1
"1431","3329",4
"1432","3330",1
"1433","3331",1
"1434","3333",3
"1435","3335",3
"1436","3336",3
"1437","3337",1
"1438","3338",3
"1439","3340",1
"1440","3341",1
"1441","3342",2
"1442","3343",5
"1443","3344",2
"1444","3345",2
"1445","3346",3
"1446","3347",3
"1447","3348",3
"1448","3349",2
"1449","3350",2
"1450","3352",3
"1451","3353",3
"1452","3354",2
"1453","3355",1
"1454","3356",1
"1455","3357",2
"1456","3358",1
"1457","3359",1
"1458","3360",3
"1459","3362",1
"1460","3363",1
"1461","3365",1
"1462","3366",2
"1463","3367",3
"1464","3368",1
"1465","3369",2
"1466","3370",1
"1467","3372",2
"1468","3373",5
"1469","3374",5
"1470","3375",1
"1471","3376",2
"1472","3377",2
"1473","3379",4
"1474","3380",2
"1475","3381",1
"1476","3382",4
"1477","3383",2
"1478","3384",5
"1479","3385",3
"1480","3386",2
"1481","3387",3
"1482","3388",1
"1483","3389",1
"1484","3390",2
"1485","3392",3
"1486","3393",4
"1487","3395",1
"1488","3396",2
"1489","3397",3
"1490","3399",4
"1491","3400",4
"1492","3402",2
"1493","3403",3
"1494","3404",3
"1495","3405",3
"1496","3406",1
"1497","3408",3
"1498","3409",4
"1499","3410",2
"1500","3412",3
"1501","3413",1
"1502","3414",1
"1503","3415",1
"1504","3416",2
"1505","3417",2
"1506","3418",3
"1507","3419",1
"1508","3422",2
"1509","3423",4
"1510","3424",2
"1511","3425",3
"1512","3426",3
"1513","3427",3
"1514","3428",2
"1515","3429",2
"1516","3430",1
"1517","3431",3
"1518","3433",1
"1519","3434",1
"1520","3435",2
"1521","3436",2
"1522","3437",1
"1523","3438",1
"1524","3439",3
"1525","3440",1
"1526","3441",5
"1527","3442",3
"1528","3443",2
"1529","3444",2
"1530","3445",3
"1531","3446",1
"1532","3447",2
"1533","3448",1
"1534","3450",2
"1535","3451",1
"1536","3452",4
"1537","3453",2
"1538","3454",2
"1539","3455",4
"1540","3456",4
"1541","3457",3
"1542","3458",3
"1543","3459",2
"1544","3460",3
"1545","3461",1
"1546","3463",1
"1547","3464",1
"1548","3465",1
"1549","3467",2
"1550","3468",2
"1551","3469",1
"1552","3471",1
"1553","3473",4
"1554","3474",3
"1555","3475",1
"1556","3476",1
"1557","3478",1
"1558","3479",4
"1559","3481",1
"1560","3482",1
"1561","3483",2
"1562","3485",3
"1563","3486",2
"1564","3487",1
"1565","3488",4
"1566","3489",2
"1567","3490",4
"1568","3491",2
"1569","3492",1
"1570","3493",4
"1571","3494",6
"1572","3495",2
"1573","3496",3
"1574","3497",4
"1575","3498",2
"1576","3499",1
"1577","3500",3
"1578","3501",3
"1579","3503",1
"1580","3504",1
"1581","3505",1
"1582","3506",2
"1583","3507",1
"1584","3508",2
"1585","3509",1
"1586","3510",3
"1587","3511",2
"1588","3512",3
"1589","3513",2
"1590","3514",2
"1591","3515",1
"1592","3516",2
"1593","3517",1
"1594","3518",1
"1595","3519",1
"1596","3520",1
"1597","3521",3
"1598","3522",2
"1599","3523",2
"1600","3524",2
"1601","3525",3
"1602","3526",3
"1603","3527",5
"1604","3529",3
"1605","3530",2
"1606","3531",2
"1607","3532",1
"1608","3534",1
"1609","3535",1
"1610","3536",2
"1611","3538",3
"1612","3539",1
"1613","3540",1
"1614","3541",1
"1615","3542",1
"1616","3543",3
"1617","3544",2
"1618","3545",1
"1619","3546",2
"1620","3548",2
"1621","3549",3
"1622","3550",2
"1623","3552",3
"1624","3553",2
"1625","3554",3
"1626","3555",2
"1627","3557",2
"1628","3558",1
"1629","3559",1
"1630","3560",1
"1631","3563",6
"1632","3565",3
"1633","3566",4
"1634","3567",2
"1635","3568",5
"1636","3569",2
"1637","3572",1
"1638","3573",5
"1639","3574",1
"1640","3577",1
"1641","3578",2
"1642","3579",3
"1643","3580",4
"1644","3581",2
"1645","3582",1
"1646","3583",1
"1647","3584",1
"1648","3585",2
"1649","3587",2
"1650","3588",5
"1651","3589",2
"1652","3590",1
"1653","3591",2
"1654","3592",1
"1655","3594",2
"1656","3596",1
"1657","3597",2
"1658","3598",1
"1659","3599",3
"1660","3601",2
"1661","3602",1
"1662","3603",3
"1663","3604",1
"1664","3605",2
"1665","3606",2
"1666","3607",3
"1667","3608",1
"1668","3610",2
"1669","3611",3
